id	name	code	country_code	coordinates	municipality	province
1338	Grotta Presso Caneca Di Tolmezzo (Fr 322)	CKMAP139	IT		CANEVA DI TOLMEZZO	FRIULI VENEZIA GIULIA
1339	Sorgente 1.1 Km Dal Confine Di Stato. Val Natisone. A Monte Di Stupizza	CKMAP357	IT		PULFERO	FRIULI VENEZIA GIULIA
1340	Sorgente A Tarpezzo (Valle Del T. Alberone)	CKMAP361	IT		SAN PIETRO AL NATISONE	FRIULI VENEZIA GIULIA
1341	Grotta Di Comarie (Vg 4221)	CKMAP128	IT		IAMIANO	FRIULI VENEZIA GIULIA
1342	Lago Di Pietrarossa. Sorgenti	CKMAP153	IT		MONFALCONE	FRIULI VENEZIA GIULIA
1343	Pozzo Presso Jamiano (Vg 360)	CKMAP270	IT		IAMIANO	FRIULI VENEZIA GIULIA
1344	Riva Del F. Piave (Iporreico)	CKMAP331	IT		INCONNU	VENETO
1346	Code Station Sloven52	SLOVEN52	SI		INCONNU	INCONNU
1347	Code Station Sloven67	SLOVEN67	SI		INCONNU	INCONNU
1348	Code Station Sloven68	SLOVEN68	SI		INCONNU	INCONNU
1349	Hohle Ukovnik Bei Idrija	UKOVNIK	SI		SPODNJA IDRIJA	IDRIJA
1351	Grotta Della Foos Fr 229 Campone	GROTFOOS	IT		TRAMONTI DI SOTTO	PORDENONE
1352	Vogrscek Babja Jama Ks 3903	BABJAJAM	SI		GORENJI LOG AVCE	NOVA GORICA
1353	R Idrijca Intertitial	IDREIJCA	SI		TREBUSA	TOLMIN
1354	Intersticij Baca Pred Izlivom V Idrijca Interst River Baca At Confluence With Idrijca	IDRIJA	SI		BACA PRI MODREJU	TOLMIN
1355	Baret Vodna Crpalka K St O	JAMIANO	IT		JAMIANO	LAGO DI DOBERDO
1356	Sorgente Riva Destra Fiume Isonzo Tra I Due Ponti Della Ferrovia Presso Papariano	ISONZO	IT		FIUMICELLO	GORIZIA
1357	Grotta Di Comarie 4221 Ve	COMARIE	IT		DOBERDO DEL LAGO	GORIZIA
1359	Cave Hudournik	HUDOURNI	SI		ZELIMLJE	LJUBLJANA
1360	Grotta Di Papipano (Fr 296). Canal Di Griv	CKMAP129	IT		FAEDIS	FRIULI VENEZIA GIULIA
1368	Schotterbank Der Vipava Bei Dornberk	DORNBER1	SI		DORNBERK	NOVA GORICA
1370	Sorgenti Di Moschenizze	MOSCHENI	IT		SABLICI	FRIULI VENEZIA GIULIA
1371	Rio Jalon Benichembla	JALON	ES		BENICHEMBLA	ALICANTE
1373	Rio Jalon 200m Aval Pont Benichembla	JALAVAL	ES		BENICHEMBLA	ALICANTE
1375	Rio Jalon Fuente Del Pueblo Lavoir Benichembla	JALLAVO	ES		BENICHEMBLA	ALICANTE
1376	Rio Jalon Pont Benichembla	JALPONT	ES		BENICHEMBLA	ALICANTE
1377	Rio Jalon Fuente Del Pueblo Benichembla La Source	JALSOUR	ES		BENICHEMBLA	ALICANTE
1382	Source Dans Le Canyon Fuente Del Modo	MODOFUEN	ES		CALLOSA D EN SARRIA	ALICANTE
1383	Rio Argos Caravaca De La Cruz	CRUZ	ES		CARAVACA DE LA CRUZ	MURCIA
1386	Arroyo Del Membrillo	MENBRILL	ES		COTO R├ìOS	JAEN
1387	Fontaine Rio Guatizalema Puente Cerca Sipan	SIPANFON	ES		SIPAN	HUESCA
1388	Rio Cinca Puente A Barbastro	MONZON	ES		MONZON	HUESCA
1389	Rio Guatizalema Puente Cerca Sipan	SIPAN	ES		SIPAN	HUESCA
1390	Rio Bergantes Villores	BERGANT	ES		VILLORES	CASTELLON
1391	Rio Mijares Espadilla	MIJARES	ES		ESPADILLA	CASTELLON
1392	Rio Pequeno Espadilla	PEQUENO	ES		ESPADILLA	CASTELLON
1393	Rio Areta Puente A Lumbier Ripodas	LUMBIER	ES		URRAUL BAJO	NAVARRA
1395	Rio Tastavins 1 Valderrobres	TASTAV1	ES		VALDERROBRES	TERUEL
1396	Rio D'algas Arnes	ALGAS	ES		ARNES	TARRAGONA
1397	Rio Matarrana Torre Del Compte	MATARRA	ES		TORRE DEL COMPTE	TERUEL
1400	Ancienne Graviere Du Rio Cinca En Amont D'estada	CINCARI1	ES		ESTADA	HUESCA
1401	Rio Alcanadre Au Pied Du Barrage De Bierge	ALCANAB1	ES		BIERGE	HUESCA
1402	Rio Alcanadre Sous Le Pont De Bierge	ALCANAB2	ES		BIERGE	HUESCA
1403	Rio Alcanadre Dans Le Canyon De Rodellar	ALCANARO	ES		RODELLAR	HUESCA
1404	Rio Aragon	ARAGONR1	ES		SANTA CILIA	HUESCA
1405	Rio Asabon Callego	ASABONR1	ES		BAILO	HUESCA
1406	Rio Asabon	ASABONR2	ES		SANTA MARIA	HUESCA
1407	Rio Vero A Barbastro	BARBAST1	ES		BARBASTRO	HUESCA
1408	Rio Vero En Amont De Barbastro Sous Le Pont	BARBAST2	ES		BARBASTRO	HUESCA
1409	Rio Bergantes Entre Ortells Et Zorita Del Maestrazgo	BERGANT1	ES		ORTELIS	CASTELLON
1410	Rio Bergantes Forcall	BERGANT3	ES		FORCALL	CASTELLON
1411	Rio Cinca Sous Le Pont En Aval D'estada	CINCARI2	ES		ESTADA	HUESCA
1412	Rio Guadalope Mas De Las Matas	GUADALO2	ES		MAS DE LAS MATAS	TERUEL
1413	Rio Guarga Gallego	GUARGAG	ES		JAVIERRELATRE	HUESCA
1414	Rio Isuala	ISUALARI	ES		ABIEGO	HUESCA
1415	Rio Bergantes Aguaviva 1	BERGANT2	ES		AGUAVIVA	TERUEL
1416	Rio Guadalope Villaroya De Los Pinares	GUADALO1	ES		VILLAROYA DE LOS PINARES	TERUEL
1417	Rio Alcanadre	ALCANADR	ES		ANGUES	HUESCA
1420	Rio Arag0n	ARAGONR2	ES		ASCARA	HUESCA
